,top_parent,second_level,third_level,fourth_level,fifth_level
136,"Total, all occupations",Management occupations,Top executives,"Library science teachers, postsecondary","Library science teachers, postsecondary"
137,"Total, all occupations",Management occupations,Top executives,Artists and related workers,Art directors
138,"Total, all occupations",Management occupations,Top executives,Artists and related workers,Craft artists
139,"Total, all occupations",Management occupations,Top executives,Artists and related workers,"Fine artists, including painters, sculptors, and illustrators"
140,"Total, all occupations",Management occupations,Top executives,Artists and related workers,Special effects artists and animators
141,"Total, all occupations",Management occupations,Top executives,Artists and related workers,"Artists and related workers, all other"
142,"Total, all occupations",Management occupations,Top executives,Art directors,Art directors
143,"Total, all occupations",Management occupations,Top executives,Craft artists,Craft artists
144,"Total, all occupations",Management occupations,Top executives,"Fine artists, including painters, sculptors, and illustrators","Fine artists, including painters, sculptors, and illustrators"
145,"Total, all occupations",Management occupations,Top executives,Special effects artists and animators,Special effects artists and animators
146,"Total, all occupations",Management occupations,Top executives,"Artists and related workers, all other","Artists and related workers, all other"
147,"Total, all occupations",Management occupations,Top executives,Designers,Commercial and industrial designers
148,"Total, all occupations",Management occupations,Top executives,Designers,Fashion designers
149,"Total, all occupations",Management occupations,Top executives,Designers,Floral designers
150,"Total, all occupations",Management occupations,Top executives,Designers,Graphic designers
151,"Total, all occupations",Management occupations,Top executives,Designers,Interior designers
152,"Total, all occupations",Management occupations,Top executives,Designers,Merchandise displayers and window trimmers
153,"Total, all occupations",Management occupations,Top executives,Designers,Set and exhibit designers
154,"Total, all occupations",Management occupations,Top executives,Designers,"Designers, all other"
155,"Total, all occupations",Management occupations,Top executives,Commercial and industrial designers,Commercial and industrial designers
156,"Total, all occupations",Management occupations,Top executives,Fashion designers,Fashion designers
157,"Total, all occupations",Management occupations,Top executives,Floral designers,Floral designers
158,"Total, all occupations",Management occupations,Top executives,Graphic designers,Graphic designers
159,"Total, all occupations",Management occupations,Top executives,Interior designers,Interior designers
160,"Total, all occupations",Management occupations,Top executives,Merchandise displayers and window trimmers,Merchandise displayers and window trimmers
161,"Total, all occupations",Management occupations,Top executives,Set and exhibit designers,Set and exhibit designers
162,"Total, all occupations",Management occupations,Top executives,"Designers, all other","Designers, all other"
163,"Total, all occupations",Management occupations,Top executives,Chiropractors,Chiropractors
164,"Total, all occupations",Management occupations,Top executives,Dentists,"Dentists, general"
165,"Total, all occupations",Management occupations,Top executives,Dentists,Oral and maxillofacial surgeons
166,"Total, all occupations",Management occupations,Top executives,Dentists,Orthodontists
167,"Total, all occupations",Management occupations,Top executives,Dentists,Prosthodontists
168,"Total, all occupations",Management occupations,Top executives,Dentists,"Dentists, all other specialists"
169,"Total, all occupations",Management occupations,Top executives,"Dentists, general","Dentists, general"
170,"Total, all occupations",Management occupations,Top executives,Oral and maxillofacial surgeons,Oral and maxillofacial surgeons
171,"Total, all occupations",Management occupations,Top executives,Orthodontists,Orthodontists
172,"Total, all occupations",Management occupations,Top executives,Prosthodontists,Prosthodontists
173,"Total, all occupations",Management occupations,Top executives,"Dentists, all other specialists","Dentists, all other specialists"
174,"Total, all occupations",Management occupations,Top executives,Dietitians and nutritionists,Dietitians and nutritionists
175,"Total, all occupations",Management occupations,Top executives,Optometrists,Optometrists
176,"Total, all occupations",Management occupations,Top executives,Pharmacists,Pharmacists
177,"Total, all occupations",Management occupations,Top executives,Physician assistants,Physician assistants
178,"Total, all occupations",Management occupations,Top executives,Podiatrists,Podiatrists
179,"Total, all occupations",Management occupations,Top executives,First-line supervisors of law enforcement workers,First-line supervisors of correctional officers
180,"Total, all occupations",Management occupations,Top executives,First-line supervisors of law enforcement workers,First-line supervisors of police and detectives
181,"Total, all occupations",Management occupations,Top executives,First-line supervisors of correctional officers,First-line supervisors of correctional officers
182,"Total, all occupations",Management occupations,Top executives,First-line supervisors of police and detectives,First-line supervisors of police and detectives
183,"Total, all occupations",Management occupations,Top executives,First-line supervisors of firefighting and prevention workers,First-line supervisors of firefighting and prevention workers
184,"Total, all occupations",Management occupations,Top executives,"Miscellaneous first-line supervisors, protective service workers",First-line supervisors of security workers
185,"Total, all occupations",Management occupations,Top executives,"Miscellaneous first-line supervisors, protective service workers","First-line supervisors of protective service workers, all other"
186,"Total, all occupations",Management occupations,Top executives,First-line supervisors of security workers,First-line supervisors of security workers
187,"Total, all occupations",Management occupations,Top executives,"First-line supervisors of protective service workers, all other","First-line supervisors of protective service workers, all other"
188,"Total, all occupations",Management occupations,Top executives,Chefs and head cooks,Chefs and head cooks
189,"Total, all occupations",Management occupations,Top executives,First-line supervisors of food preparation and serving workers,First-line supervisors of food preparation and serving workers
190,"Total, all occupations",Management occupations,Top executives,First-line supervisors of housekeeping and janitorial workers,First-line supervisors of housekeeping and janitorial workers
191,"Total, all occupations",Management occupations,Top executives,"First-line supervisors of landscaping, lawn service, and groundskeeping workers","First-line supervisors of landscaping, lawn service, and groundskeeping workers"
192,"Total, all occupations",Management occupations,Top executives,First-line supervisors of entertainment and recreation workers,First-line supervisors of gambling services workers
193,"Total, all occupations",Management occupations,Top executives,First-line supervisors of entertainment and recreation workers,"First-line supervisors of entertainment and recreation workers, except gambling services"
194,"Total, all occupations",Management occupations,Top executives,First-line supervisors of gambling services workers,First-line supervisors of gambling services workers
195,"Total, all occupations",Management occupations,Top executives,"First-line supervisors of entertainment and recreation workers, except gambling services","First-line supervisors of entertainment and recreation workers, except gambling services"
196,"Total, all occupations",Management occupations,Top executives,First-line supervisors of personal service workers,First-line supervisors of personal service workers
197,"Total, all occupations",Management occupations,Top executives,First-line supervisors of retail sales workers,First-line supervisors of retail sales workers
198,"Total, all occupations",Management occupations,Top executives,First-line supervisors of non-retail sales workers,First-line supervisors of non-retail sales workers
199,"Total, all occupations",Management occupations,Top executives,First-line supervisors of office and administrative support workers,First-line supervisors of office and administrative support workers
200,"Total, all occupations",Management occupations,Top executives,"First-line supervisors of farming, fishing, and forestry workers","First-line supervisors of farming, fishing, and forestry workers"
201,"Total, all occupations",Management occupations,Top executives,First-line supervisors of construction trades and extraction workers,First-line supervisors of construction trades and extraction workers
202,"Total, all occupations",Management occupations,Top executives,"First-line supervisors of mechanics, installers, and repairers","First-line supervisors of mechanics, installers, and repairers"
203,"Total, all occupations",Management occupations,Top executives,First-line supervisors of production and operating workers,First-line supervisors of production and operating workers
204,"Total, all occupations",Management occupations,Top executives,Aircraft cargo handling supervisors,Aircraft cargo handling supervisors
205,"Total, all occupations",Management occupations,Top executives,"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors","First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors"
206,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Advertising and promotions managers,Advertising and promotions managers
207,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Marketing and sales managers,Marketing managers
208,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Marketing and sales managers,Sales managers
209,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Marketing managers,Marketing managers
210,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Sales managers,Sales managers
211,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Public relations and fundraising managers,Public relations managers
212,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Public relations and fundraising managers,Fundraising managers
213,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Public relations managers,Public relations managers
214,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Fundraising managers,Fundraising managers
215,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Accountants and auditors,Accountants and auditors
216,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Property appraisers and assessors,Property appraisers and assessors
217,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Budget analysts,Budget analysts
218,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Credit analysts,Credit analysts
219,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Financial analysts and advisors,Financial and investment analysts
220,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Financial analysts and advisors,Personal financial advisors
221,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Financial analysts and advisors,Insurance underwriters
222,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Financial analysts and advisors,Financial risk specialists
223,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Financial and investment analysts,Financial and investment analysts
224,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Personal financial advisors,Personal financial advisors
225,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Insurance underwriters,Insurance underwriters
226,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Financial risk specialists,Financial risk specialists
227,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Financial examiners,Financial examiners
228,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Credit counselors and loan officers,Credit counselors
229,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Credit counselors and loan officers,Loan officers
230,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Credit counselors,Credit counselors
231,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Loan officers,Loan officers
232,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Tax examiners, collectors and preparers, and revenue agents","Tax examiners and collectors, and revenue agents"
233,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Tax examiners, collectors and preparers, and revenue agents",Tax preparers
234,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Tax examiners and collectors, and revenue agents","Tax examiners and collectors, and revenue agents"
235,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Tax preparers,Tax preparers
236,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Financial specialists, all other","Financial specialists, all other"
237,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Actuaries,Actuaries
238,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Mathematicians,Mathematicians
239,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Operations research analysts,Operations research analysts
240,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Statisticians,Statisticians
241,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Data scientists,Data scientists
242,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Mathematical science occupations, all other","Mathematical science occupations, all other"
243,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Aerospace engineers,Aerospace engineers
244,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Agricultural engineers,Agricultural engineers
245,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Bioengineers and biomedical engineers,Bioengineers and biomedical engineers
246,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Chemical engineers,Chemical engineers
247,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Civil engineers,Civil engineers
248,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Computer hardware engineers,Computer hardware engineers
249,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Electrical and electronics engineers,Electrical engineers
250,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Electrical and electronics engineers,"Electronics engineers, except computer"
251,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Electrical engineers,Electrical engineers
252,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Electronics engineers, except computer","Electronics engineers, except computer"
253,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Environmental engineers,Environmental engineers
254,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Astronomers and physicists,Astronomers
255,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Astronomers and physicists,Physicists
256,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Astronomers,Astronomers
257,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Physicists,Physicists
258,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Atmospheric and space scientists,Atmospheric and space scientists
259,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Chemists and materials scientists,Chemists
260,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Chemists and materials scientists,Materials scientists
261,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Chemists,Chemists
262,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Materials scientists,Materials scientists
263,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Environmental scientists and geoscientists,"Environmental scientists and specialists, including health"
264,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Environmental scientists and geoscientists,"Geoscientists, except hydrologists and geographers"
265,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Environmental scientists and geoscientists,Hydrologists
266,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Environmental scientists and specialists, including health","Environmental scientists and specialists, including health"
267,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Geoscientists, except hydrologists and geographers","Geoscientists, except hydrologists and geographers"
268,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Hydrologists,Hydrologists
269,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Physical scientists, all other","Physical scientists, all other"
270,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Clergy,Clergy
271,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Directors, religious activities and education","Directors, religious activities and education"
272,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers","Religious workers, all other","Religious workers, all other"
273,"Total, all occupations",Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Paralegals and legal assistants,Paralegals and legal assistants
